product_id,date,store_id,sales_quantity,price,promotions,seasonality_factors,external_factors,demand_trend,customer_segments,price_opt,competitor_prices,elasticity_index,has_pricing_data
4277,2024-01-03,48,330,24.38,False,Festival,Competitor Pricing,Increasing,Regular,,,,False
5540,2024-04-29,10,334,74.98,True,Holiday,Weather,Stable,Premium,,,,False
5406,2024-01-11,67,429,24.83,True,Holiday,Economic Indicator,Decreasing,Premium,,,,False
5617,2024-04-04,17,298,13.41,False,Unknown,Economic Indicator,Stable,Regular,,,,False
3480,2024-12-14,33,344,94.96,True,Festival,Weather,Increasing,Regular,,,,False
7315,2024-11-25,9,336,59.54,True,Festival,Unknown,Stable,Premium,,,,False
2902,2024-11-13,58,475,35.61,False,Unknown,Unknown,Increasing,Budget,,,,False
6892,2024-01-04,19,491,55.03,True,Festival,Unknown,Stable,Regular,,,,False
4497,2024-10-25,33,388,33.53,False,Unknown,Economic Indicator,Increasing,Premium,,,,False
8079,2024-10-22,26,475,83.65,False,Holiday,Unknown,Decreasing,Budget,,,,False
3900,2024-05-13,36,434,31.01,True,Unknown,Economic Indicator,Increasing,Regular,,,,False
6894,2024-04-01,78,29,27.17,True,Festival,Economic Indicator,Increasing,Budget,,,,False
7767,2024-07-06,44,397,15.8,True,Festival,Competitor Pricing,Stable,Budget,,,,False
9582,2024-06-30,67,71,79.15,False,Holiday,Weather,Decreasing,Regular,,,,False
9817,2024-05-10,2,467,52.82,True,Holiday,Weather,Increasing,Budget,,,,False
3845,2024-02-27,79,299,65.58,False,Holiday,Competitor Pricing,Stable,Regular,,,,False
1206,2024-03-09,82,322,36.76,False,Holiday,Competitor Pricing,Increasing,Premium,,,,False
6606,2024-05-06,87,95,92.94,True,Festival,Weather,Decreasing,Premium,,,,False
2197,2024-12-24,59,438,84.65,False,Festival,Competitor Pricing,Stable,Budget,,,,False
5705,2024-08-16,80,416,15.72,False,Unknown,Weather,Increasing,Budget,,,,False
4540,2024-08-12,78,494,86.78,True,Holiday,Competitor Pricing,Decreasing,Regular,18.22,27.11,0.96,True
4784,2024-11-25,51,498,80.55,False,Unknown,Weather,Stable,Premium,,,,False
3265,2024-01-03,12,158,31.6,True,Unknown,Weather,Increasing,Budget,,,,False
4085,2024-12-28,85,494,34.55,False,Unknown,Competitor Pricing,Decreasing,Regular,,,,False
6410,2024-12-24,27,381,81.72,True,Unknown,Competitor Pricing,Stable,Budget,,,,False
4740,2024-07-28,21,67,34.78,False,Holiday,Competitor Pricing,Stable,Budget,,,,False
9964,2024-12-09,96,252,65.22,True,Festival,Unknown,Increasing,Premium,,,,False
2288,2024-11-29,17,140,39.79,True,Festival,Economic Indicator,Increasing,Regular,,,,False
5324,2024-05-18,47,71,66.76,False,Unknown,Weather,Decreasing,Budget,65.86,72.01,2.43,True
6592,2024-08-23,28,378,98.12,False,Holiday,Competitor Pricing,Stable,Regular,,,,False
5840,2024-06-26,91,307,25.74,False,Holiday,Economic Indicator,Increasing,Budget,,,,False
8498,2024-01-22,59,273,19.82,False,Unknown,Economic Indicator,Stable,Regular,,,,False
2338,2024-07-31,90,230,46.38,True,Unknown,Competitor Pricing,Stable,Premium,,,,False
8532,2024-09-01,72,2,93.36,False,Holiday,Unknown,Stable,Regular,,,,False
9185,2024-03-01,51,333,79.44,False,Holiday,Weather,Increasing,Regular,,,,False
5691,2024-05-10,62,352,50.95,False,Festival,Competitor Pricing,Decreasing,Regular,,,,False
6335,2024-03-17,70,158,58.89,True,Unknown,Unknown,Decreasing,Premium,,,,False
1355,2024-03-01,59,46,51.9,True,Festival,Economic Indicator,Stable,Budget,,,,False
9700,2024-05-18,49,228,91.0,False,Festival,Unknown,Increasing,Budget,,,,False
4783,2024-02-26,50,215,86.17,False,Festival,Unknown,Decreasing,Regular,,,,False
8997,2024-05-31,23,437,25.26,False,Unknown,Competitor Pricing,Decreasing,Budget,,,,False
6985,2024-08-27,78,455,7.55,True,Festival,Competitor Pricing,Decreasing,Regular,,,,False
9816,2024-02-25,92,225,58.8,False,Unknown,Economic Indicator,Increasing,Regular,,,,False
6739,2024-06-14,5,317,12.65,False,Holiday,Competitor Pricing,Increasing,Premium,,,,False
3824,2024-04-27,7,305,18.38,False,Holiday,Unknown,Stable,Budget,,,,False
